general_name
龟龙中风丸
龟龄集
龟黄补酒
龟鹿补肾胶囊
龟鹿补肾片
龟鹿补肾口服液
龟鹿补肾丸
龟鹿益肾胶囊
龟鹿滋肾丸
龟鹿宁神丸
龟鹿二胶丸
龟鹿二仙膏
龟鹿二仙口服液
龟蛇酒
龟茸壮骨片
龟苓膏
龟芪壮骨颗粒
龟芪参口服液
龟胶养阴颗粒
龟甲胶颗粒
龟甲胶
龟甲散
龟甲养阴片
龙鹿胶囊
龙鹿丸
龙骨颈椎胶囊
龙香平喘胶囊
龙首颗粒
龙金通淋胶囊
龙血通络胶囊
龙血竭酚类提取物
龙血竭胶囊(肠溶)
龙血竭胶囊
龙血竭片
龙血竭散
龙血竭含片
龙血竭
龙蛾酒
龙虱补肾酒
龙虎人丹
龙菊清肝胶囊
龙荟丸
龙苓春药酒
龙苓春合剂
龙芪颗粒
龙芪溶栓肠溶胶囊
龙脑安神丸
龙胆酊
龙胆苏打片
龙胆碳酸氢钠片
龙胆碳酸氢钠散
龙胆泻肝颗粒
龙胆泻肝软胶囊
龙胆泻肝胶囊
龙胆泻肝片
龙胆泻肝口服液
龙胆泻肝丸(浓缩丸)
龙胆泻肝丸(水丸)
龙胆泻肝丸(大蜜丸)
龙胆泻肝丸
龙胆总苷
龙生蛭胶囊
龙珠软膏
龙珠平亢丸
龙牡壮骨颗粒
龙牡壮骨咀嚼片
龙牙肝泰胶囊
龙燕补肾酒
龙灯胶囊
龙泽熊胆胶囊(熊胆丸)
龙泽熊胆胶囊(
龙泽熊胆胶囊
龙枣胶囊
龙掌泡腾颗粒
龙掌口含液
龙心素胶囊
龙参补益颗粒
龙参补益膏
龙加通络胶囊
龙凤宝胶囊
龙凤宝片
龙丹通络胶囊
龙七胃康片
龋齿宁含片
齿痛消炎灵颗粒
齿痛宁
齿痛冰硼散
齐多拉米双夫定片
齐多夫定胶囊
齐多夫定片
齐多夫定注射液
齐多夫定口服溶液
齐多夫定
齐墩果酸胶囊
齐墩果酸片
齐墩果酸
鼻通滴鼻剂
鼻通宁滴剂
鼻通丸
鼻血止颗粒
鼻舒适片
鼻窦炎口服液
鼻炎通喷雾剂
鼻炎糖浆
鼻炎片
鼻炎灵片
鼻炎灵丸
鼻炎康片
鼻炎宁颗粒
鼻炎宁胶囊
鼻炎宁冲剂
鼻渊通窍颗粒
鼻渊软胶囊
鼻渊舒胶囊
鼻渊舒口服液
鼻渊胶囊
鼻渊糖浆
鼻渊片
鼻渊合剂
鼻渊丸
鼻康胶囊
鼻康片
鼻宁喷雾剂
鼻塞通滴鼻液
鼻咽灵片
鼻咽清毒颗粒
鼻咽清毒剂
鼠李铋镁片
黛蛤散
黑鬼油
黑骨藤追风活络颗粒
黑骨藤追风活络胶囊
黑锡丹
黑豆馏油软膏
黑豆馏油凝胶
黑归脾丸
黑加仑油软胶囊
黎峒丸
黄龙止咳颗粒
黄龙咳喘胶囊
黄龙咳喘片
黄麻嗪胶丸
黄香颗粒
